rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,I should have jumped from a higher floor.,1.9090909090909087,0.2506190682198221,11,4,4,3
1,They told me it was a walk-on role.,1.818181818181818,0.2263618108725223,11,4,5,2
2,Guess I should have jumped from a few floors higher.,1.818181818181818,0.2634795772034443,11,5,3,3
3,I was like you once.,1.818181818181818,0.2634795772034443,11,5,3,3
4,Not a care in the world...except stilettos.,1.818181818181818,0.2263618108725223,11,4,5,2
5,I guess I should have jumped from a higher floor.,1.818181818181818,0.2263618108725223,11,4,5,2
6,"Tonight, I am suspending my campaign.",1.7777777777777777,0.2777777777777778,9,4,3,2
7,And now over to Chuck for more coverage of the situation on the ground,1.7272727272727273,0.2370619056437326,11,5,4,2
8,I have seven more minutes on my meter.,1.7272727272727273,0.2370619056437326,11,5,4,2
9,"OK, Now I'm ready to do my back",1.7,0.2603416558635552,10,5,3,2
10,"Hello, I'm Matt. Welcome.",1.7,0.2603416558635552,10,5,3,2
11,Help! I've fallen and don't want to get up.,1.6666666666666667,0.3333333333333333,9,6,0,3
12,Actually I can take it lying down!,1.6363636363636365,0.2439346884545225,11,6,3,2
13,Best damned brownies I've ever had!,1.6363636363636365,0.2032789070454354,11,5,5,1
14,"When the right woman comes along, I'll know it.",1.6363636363636365,0.2439346884545225,11,6,3,2
15,In-Training to be a Hollywood personal assistant.,1.6363636363636365,0.2439346884545225,11,6,3,2
16,Only five hours a month — it’s part of my divorce agreement.,1.6363636363636365,0.2439346884545225,11,6,3,2
17,"Its my latest performance art, I call it ""Republican Obstructionism"".",1.6363636363636365,0.2032789070454354,11,5,5,1
18,Sometimes you just have to stop and smell the toeses...,1.6363636363636365,0.2787219948501071,11,7,1,3
19,Have a nice day...have a nice day...have a nice day...,1.6363636363636365,0.2787219948501071,11,7,1,3
20,It came highly rated on Airbnb.,1.6363636363636365,0.2787219948501071,11,7,1,3
21,Sometimes it's just good to stop and smell the aggravation.,1.6363636363636365,0.2439346884545225,11,6,3,2
22,A United States Senator in his natural habitat.,1.6,0.3055050463303893,10,7,0,3
23,"According to my GPS, this is my bedroom.",1.6,0.2666666666666666,10,6,2,2
24,I'd move but I'm stuck on some gum.,1.6,0.2211083193570266,10,5,4,1
25,I'm butt dialing.,1.6,0.2211083193570266,10,5,4,1
26,I am suspending my campaign,1.6,0.1632993161855451,10,4,6,0
27,Turns out my sleep number is 5th Avenue.,1.6,0.2666666666666666,10,6,2,2
28,Sometimes you just got to stop and smell the public.,1.6,0.2666666666666666,10,6,2,2
29,"Ok, what would you do if I was on fire?",1.5555555555555556,0.2939723678960656,9,6,1,2
30,I'm doing some concrete thinking.,1.5555555555555556,0.2421610524189263,9,5,3,1
31,"Sorry for the inconvenience, I probably should have jumped from a higher window.",1.5555555555555556,0.2939723678960656,9,6,1,2
32,"If I did,not know If I did'nt know better, I'd say nobody gives a damn!",1.5555555555555556,0.2421610524189263,9,5,3,1
33,I'm trying to understand The Cloud.,1.5454545454545454,0.2073046227452978,11,6,4,1
34,I'm a performance chalk artist.,1.5454545454545454,0.1574591643244433,11,5,6,0
35,"I'm a little doormat, short and fat.",1.5454545454545454,0.2073046227452978,11,6,4,1
36,"My personal trainer gave me a strict limit of 10,000 steps in a day.",1.5454545454545454,0.2073046227452978,11,6,4,1
37,"Stepped on a crack, broke my back.",1.5454545454545454,0.2472994637951898,11,7,2,2
38,Oh my god! I'd rather be doing this than reading all those goddamn CAPTION entries again this week!,1.5454545454545454,0.2816715160878121,11,8,0,3
39,Are you interested in an exciting ground floor opportunity?,1.5454545454545454,0.2073046227452978,11,6,4,1
40,It's the Republican alternative to Obamacare,1.5454545454545454,0.2816715160878121,11,8,0,3
41,"Wingtips? With that suit? Get it together, bozo!",1.5454545454545454,0.2472994637951898,11,7,2,2
42,"I'm looking for that ""man on the street"" perspective.",1.5454545454545454,0.1574591643244433,11,5,6,0
43,I've always depended on the apathy of strangers.,1.5454545454545454,0.2073046227452978,11,6,4,1
