rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,"I can't believe my eye!
",1.5548245614035088,0.0358480788858726,456,280,99,77
1,"Good Riddance, Mankoff, you fancy bastard.
",1.5544147843942504,0.036787585391103,487,317,70,100
2,"Let's just shoot the next one.
",1.4611973392461195,0.0338155040557508,451,303,88,60
3,"He is part of our catch and release program.
",1.4429223744292237,0.0318423309858875,438,287,108,43
4,"Perfect execution.
",1.4423480083857445,0.0326244971351739,477,328,87,62
5,"I think Long John just earned the silver.
",1.4364035087719298,0.0305905267138495,456,298,117,41
6,"I'll be even more annoyed if he can swim.
",1.433874709976798,0.0330033565962005,431,292,91,48
7,"At least his execution is flawless.
",1.420042643923241,0.0329464453195562,469,334,73,62
8,"I think we just shoot them from now on
",1.4081632653061225,0.0310048350280893,441,301,100,40
9,"O.K., that's it! We're going back to cruel and unusual!
",1.4064516129032258,0.0304596967708104,465,320,101,44
10,"I said prepare to die, not prepare to dive!
",1.4046610169491525,0.0308595062022465,472,330,93,49
11,"Beautiful execution.
",1.3897911832946637,0.0325630502726788,431,310,74,47
12,"Very bad dive. Very bad. If I walked the plank it would be much better. It would be the best plank walk. He's a loser at dying. Sad. Very sad.
",1.3853006681514477,0.0327951204795459,449,331,63,55
13,"If he adds a twist and nails the entry, I say we fish him out again.
",1.3799126637554586,0.0301207755959686,458,325,92,41
14,"And that, me boys, is grace under pressure.
",1.3781321184510251,0.0301880457706727,439,309,94,36
15,"I'm going to miss his optimism.
",1.3752759381898454,0.02950117388382,453,319,98,36
16,"Talk about a perfect execution.
",1.3733624454148472,0.0306911444182954,458,332,81,45
17,"Nice dive. Now lets see if he can swim 2,000 miles.
",1.371002132196162,0.0299926206152814,469,339,86,44
18,"Another flawless execution!
",1.3680851063829786,0.0296145049279318,470,339,89,42
19,"I like to call this the elimination round.
",1.366890380313199,0.0302003204866038,447,322,86,39
20,"Technically, he's flawless, but I'm still deducting 2 points for mutiny.
",1.3655913978494625,0.0296632832695691,465,336,88,41
21,"Great execution.
",1.3648068669527895,0.0294536864998042,466,336,90,40
22,"Superb execution.
",1.3601694915254237,0.0289850120939928,472,341,92,39
23,"You know, that's exactly the kind of attitude that made this necessary in the first place.
",1.3597285067873304,0.0302022513295397,442,321,83,38
24,"Outstanding execution.
",1.3580786026200873,0.0294291859179883,458,332,88,38
25,"He's taking it better than I expected.
",1.3571428571428572,0.0286266604586082,476,344,94,38
26,"Nobody walks anymore.
",1.3549883990719258,0.0303477902289448,431,314,81,36
27,"""Who told him to take a flying leap""?
",1.3548387096774193,0.0289197755071487,465,337,91,37
28,"Sometimes you don't really get to know someone until it's too late.
",1.3544018058690743,0.0290603480305859,443,318,93,32
29,"They don't call him Jolly Roger for nothing.
",1.3542600896860986,0.0292692363041946,446,322,90,34
30,"I guess when we go low, he goes high.
",1.352549889135255,0.0303502237379488,451,334,75,42
31,"That's going overboard.
",1.351578947368421,0.0292239027217964,475,350,83,42
32,"Brilliant execution!
",1.3509174311926606,0.0305758326263866,436,322,75,39
33,"It's about the journey, not the destination.
",1.350877192982456,0.0296060218112136,456,335,82,39
34,"'That, me hearties, is panache.""
",1.349537037037037,0.0300578689278855,432,316,81,35
35,"Nice execution!
",1.345132743362832,0.0303812296011593,452,339,70,43
36,"That's the last time we raid a Cirque du Soleil cruise.
",1.3443708609271523,0.0296724374330635,453,336,78,39
