rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny
0,I'm the fitness guru. The wisdom guru is one mountain over.,1.8819897084048027,0.0142851860673068,2915,1059,1141,715
1,When I retired from Google they let me keep my chair.,1.87615988579586,0.0147953224019392,2802,1054,1041,707
2,It's for my back. You have two more questions.,1.875340599455041,0.014478442232125,2936,1109,1084,743
3,"No, but I can show you the path to a tighter butt.",1.8454746136865343,0.0160921105042777,2265,866,883,516
4,"Before I settled here, I bounced around a lot.",1.8446740292126824,0.0145098730841201,2807,1081,1081,645
5,It turns out that inner peace is 95% core strength.,1.834127327847553,0.0159247806600023,2309,899,894,516
6,Enlightenment? I'm just trying to achieve alignment.,1.8191560616208973,0.0139572818968611,2986,1187,1152,647
7,"The keys to a long life are balance and color, but mostly staying away from the edge.",1.7991329479768785,0.0144909990463222,2768,1138,1048,582
8,"You only get one question and you ask, ""What's that?""!",1.7921348314606742,0.0148204497735248,2848,1248,944,656
9,I think there's a misunderstanding. I'm the Bally Lama.,1.75046468401487,0.0169951221151506,2152,1004,681,467
10,It has nothing to do with the meaning of life. It's just more comfortable than sitting on rocks.,1.7475442043222005,0.0227135277272941,1018,428,419,171
11,"Forgot your question, didn’t you?",1.7304643261608157,0.015025057075363,2649,1245,873,531
12,"Honestly, I stopped caring about the meaning of life after I got one of these.",1.7201283079390537,0.0149984055496249,2494,1146,900,448
13,Finally it dawned on me that I could sit on it INSTEAD of rolling it up the hill.,1.7112345151644597,0.0156448887615078,2341,1106,805,430
14,I'm strengthening my core beliefs.,1.7021650087770626,0.0178821361255216,1709,797,624,288
15,It’s not how far you fall. It’s how you bounce back.,1.6960600375234522,0.0179825949417609,1599,730,625,244
16,I am no longer between the rock and the hard place.,1.689829437776374,0.0189226258510436,1583,770,534,279
17,Do you seek alignment?,1.6878216123499143,0.0156932089970504,2332,1147,766,419
18,"Absalom, Abs Salon, who wouldn't make that mistake?",1.6871945259042034,0.016891457869838,2046,1017,652,377
19,You just roll with it.,1.6840328027013989,0.0163914051142816,2073,1008,712,353
