caption,mean,precision,votes,not_funny,somewhat_funny,funny
You used to look at me like that.,1.7645339395907762,0.01446981914434324,3079,1458,897,724
You used to look at me that way.,1.7412412412412412,0.01818327564731741,1998,985,545,468
Don't judge me.  I was young and needed the money.,1.72323879231473,0.01663384138922163,2186,1047,697,442
Nice of them to put a memorial for Stanley.,1.7153846153846153,0.02595588786158126,910,445,279,186
"I don't know who he is, but his signs are everywhere.",1.706008583690987,0.025391971762248826,932,457,292,183
I used to be able to do that.,1.7023643949930458,0.015860915442368364,2157,1007,789,361
I was young and needed the money.,1.6883116883116882,0.0455375647675775,308,161,82,65
I haven't bent that way since high school.,1.6698513800424628,0.023567045659093833,942,453,347,142
It's a cartoon. You're not supposed to get it.,1.6666666666666667,0.021639590781117324,1473,835,294,344
I don’t trust it. You saw what happened to that deer.,1.6622264509990485,0.02306516035350307,1051,531,344,176
I just think he looks stupid in that hat.,1.6556184316895715,0.021929880443579904,1237,654,355,228
"Nice curves, but they’re not natural.",1.651291512915129,0.02234547873300587,1084,548,366,170
Is that anyone we know?,1.649514563106796,0.022160192870065227,1030,509,375,146
They always get the tail wrong.,1.6481312670920694,0.022601578613798315,1097,568,347,182
You are here.”,1.6425073457394712,0.02499284876296766,1021,577,234,210
Nobody looks like that in real life,1.6373056994818653,0.023734882573184433,965,511,298,156
At last! A crosswalk.,1.6357827476038338,0.02474779056544736,939,503,275,161
"That's definitely your body, but they photoshopped your head.",1.6356916578669483,0.024807260313685287,947,525,251,171
Don't be pressured. It's an unrealistic standard of beauty.,1.6313465783664458,0.02491236349403286,906,483,274,149
I was drunk when I wore that lampshade.,1.6302142051860202,0.02524146596594176,887,475,265,147
I dated her before she got famous.,1.629418472063854,0.02501050224886324,877,471,266,140
She’s out of your league.,1.628175519630485,0.024680000013658283,866,449,290,127
Oh please. Nobody’s curves are that perfect.,1.6265750286368843,0.024428035226776817,873,457,289,127
You can tell she’s had work.,1.6263736263736264,0.02675794921545801,819,450,225,144
I love erotic art.,1.6243902439024391,0.026293970308744655,820,444,240,136
I'd kill for those curves,1.62266500622665,0.02561854551425968,803,420,266,117
It looks photoshopped.,1.6188630490956073,0.026701285964929586,774,417,235,122
"Oh, to have a figure like that again, huh, Marge?",1.6125874125874127,0.027271597157684842,715,382,228,105
Finally!  Our own crossing sign.,1.6125874125874127,0.027486232271092877,715,385,222,108
I told you we’re headed in the right direction.,1.6118143459915613,0.025445876675652918,711,355,277,79
As if we have a choice.,1.6113475177304966,0.027063055439723552,705,372,235,98
I'm so tired of billboards promoting this unattainable body image.,1.6075581395348837,0.02970411595628278,688,389,177,122
I've never felt so understood.,1.6027820710973726,0.028137779528845767,647,345,214,88
He's almost too handsome.,1.6015748031496062,0.028289822015172557,635,340,209,86
Just so you know: I'm straight.,1.6006546644844517,0.030449211126884625,611,359,145,107
I’m afraid it might be a sign.,1.5957095709570956,0.029448598189300353,606,331,189,86
"It's a start, but what we really need is a crosswalk.",1.5952782462057336,0.029948510036574165,593,326,181,86
You weren’t kidding! You’re famous!,1.5934819897084047,0.0305490397837013,583,325,170,88
"No one will believe us, let's take a selfie",1.5923344947735192,0.029928691999742102,574,327,164,83
She must work out,1.5920138888888888,0.02934074675181896,576,308,195,73
I believe we've been down this road before.,1.5902527075812274,0.029795928023142675,554,296,189,69
"Finally, a snake crossing. Wish me luck!",1.5856353591160222,0.03116070005988318,543,305,160,78
They got your tail all wrong.,1.5845864661654134,0.030173591723201096,532,285,183,64
That is so fake - nobody has curves like that.,1.5841209829867675,0.03258159920846492,529,304,141,84
He's got my vote.,1.580708661417323,0.03388310305823809,508,299,123,86
Isn't that your ex?,1.5744234800838575,0.032956484972938196,477,268,144,65
It's a trick.  Remember what happened to the deer?,1.5717344753747324,0.034852642233062975,467,275,117,75
He's got his 15 miles of fame.,1.5714285714285714,0.037848150320964495,427,261,88,78
I hope when my time comes I get that kind of tribute.,1.5695652173913044,0.03514364581087675,460,272,114,74
I originally auditioned for the yield sign.,1.5683297180043383,0.03286857716015372,461,257,146,58
I'd kill for curves like that!,1.5682819383259912,0.03310425362598016,454,253,144,57
"Finally, a sign I understand",1.5676274944567627,0.0345803235259838,451,261,124,66
"They have these crossing signs for deer, too.",1.5672877846790891,0.032145298558284685,483,270,152,61
You adopted a highway?,1.5665914221218962,0.03535736513939556,443,260,115,68
"See, it is clearly a snake crossing sign, let's go!",1.5659955257270695,0.032440294834675004,447,260,130,57
"Deer, bears and buffaloes get their own signs, so I made some calls.",1.5634517766497462,0.03690693796746672,394,229,108,57
"At last, we have representation.",1.5613207547169812,0.033427344710911966,424,234,142,48
Don't be fooled.  Remember how it turned out for the deer.,1.5598086124401913,0.034957350671679696,418,239,124,55
"A snake crossing, those humans think of everything!",1.5593220338983051,0.036427978786342075,413,244,107,62
"Finally, a crosswalk.",1.5593220338983051,0.03626628900957321,413,243,109,61
It means snakes can hitchhike here. Do you still have that thumb?,1.5585365853658537,0.035480155654021336,410,241,111,58
I remember when you used to look at me like that.,1.5582655826558265,0.03923134836917368,369,222,88,59
I've been down this road before.,1.5577395577395576,0.033223394665048325,407,221,145,41
I just adopted this highway,1.5571776155717763,0.03624784344122551,411,242,109,60
I had that poster in my room when I was a teenager.,1.556135770234987,0.03683802260021947,383,222,109,52
"No, it looks more like you.",1.5527638190954773,0.03312666289537355,398,228,126,44
We finally get equal time with deer crossing signs.,1.5526992287917738,0.034550168760932316,389,234,105,50
Now drivers will look out for us.,1.5509138381201044,0.0359187051303239,383,219,117,47
We finally got a crossing sign.,1.5483028720626633,0.03397251432917416,383,230,107,46
I haven't made a move like that since I was a teenager.,1.5471698113207548,0.03777953324918548,371,220,99,52
Looks like our kind of town.,1.546195652173913,0.03663023791902221,368,212,111,45
You still getting royalties?,1.5461741424802111,0.037358244448053766,379,225,101,53
I haven't moved like that since high school.,1.5452054794520549,0.03665447347773337,365,210,111,44
I'm still getting royalties from this gig.,1.5447154471544715,0.03735781685169545,369,217,103,49
Never mind the hot pin-up. Keep your eyes on the road.,1.543956043956044,0.03893434709886955,364,221,88,55
I used to model.,1.541899441340782,0.03782660829002612,358,211,100,47
Another unachievable body standard.,1.5389048991354466,0.0393836490404905,347,210,87,50
"Well, it's about time. I'm sick and tired of deer getting all the love.",1.5376344086021505,0.036560162699588276,372,218,108,46
"In your dreams, Melvin.",1.5343283582089553,0.039019535118172494,335,205,85,45
I'd follow those curves anywhere.,1.5339233038348083,0.03833196713407815,339,200,97,42
Dated her in high school!,1.5333333333333334,0.039352469652688925,330,200,86,44
Another case of art imitating life.,1.5297805642633229,0.04014267017237681,319,192,85,42
"I was much younger when I posed for that.""",1.5294117647058822,0.03952375326122828,323,193,89,41
"I know you won't believe this, but I used to date her.",1.5292397660818713,0.03831521616774656,342,204,95,43
Impossible body standards.,1.528125,0.03868261597416876,320,190,92,38
I hate how they always make our heads look pointy.,1.5276073619631902,0.039012290235911296,326,194,92,40
I used to have tight curves like that.,1.5273224043715847,0.03662810675735536,366,217,105,44
"Personally, I don't need to be told how to slither.",1.5269841269841269,0.03939701138824234,315,189,87,39
We are influencers,1.5253164556962024,0.03917953354044891,316,187,92,37
She does yoga.,1.5245901639344261,0.03844833015322394,305,191,76,38
"My cousin Fred learned the hard way that's not actually a ""Snake Crossing"" sign.",1.5242424242424242,0.04186695645706098,330,211,65,54
It's a completely unrealistic body standard,1.5227272727272727,0.041243329094456695,308,189,77,42
I never knew you were a model!,1.5185185185185186,0.04077299164424942,297,179,82,36
Oh no! Are pointy heads cool again?,1.5172413793103448,0.03944698754574518,290,169,92,29
These body standards get more unrealistic everyday,1.5171232876712328,0.04028717927030785,292,176,82,34
"Finally,

One we understand",1.516025641025641,0.037973638154475395,312,184,96,32
Do we know him?,1.5156794425087108,0.0358815579779877,287,174,90,23
Didn't you used to date him?,1.5154639175257731,0.03965134403362185,291,171,90,30
That’s a good sign.,1.515358361774744,0.040908851679425984,293,177,81,35
I think they got the head wrong.,1.515358361774744,0.04147634445813389,293,179,77,37
Look at the curves on that one.,1.514792899408284,0.038453096026516954,338,206,90,42
"Finally, a safe stretch of highway.",1.5140845070422535,0.03974231153295026,284,168,87,29
See?  Just what I said: straight ahead.,1.5123674911660778,0.04316656752859289,283,177,67,39
I think that means straight ahead,1.5121951219512195,0.04562553351666199,246,152,62,32
It's nice of them to put up a memorial marker for Clive.,1.5116279069767442,0.041190654458016916,301,186,76,39
"Oh look, they named the Highway after us!",1.5107142857142857,0.043226243833469416,280,175,67,38
I told you I’m famous around here.,1.5092250922509225,0.04045101365264512,271,159,86,26
I’m so sick of unrealistic beauty standards.,1.5076923076923077,0.03789709278187242,325,203,84,38
Our grandfather designed this road.,1.506578947368421,0.03770993032556218,304,190,81,33
Stop checking out her curves.,1.505703422053232,0.04271797953103999,263,160,73,30
We believe it to be a sign from god to go back to Ireland.,1.5053003533568905,0.03741885932427521,283,180,71,32
"Obviously, snake-crossing!",1.5038167938931297,0.03814453378488013,262,165,71,26
He loves that stupid hat.,1.50199203187251,0.044228491111961483,251,155,66,30
Why do they always put a hat on him?,1.5019762845849802,0.04251655565203553,253,152,75,26
This looks like a a safe place to cross,1.5,0.04263946913464668,252,154,71,27
"Enough with the deer, it's about time we saw ourselves represented",1.5,0.042634684634055474,280,176,68,36
This is my favorite picture of our mom.,1.5,0.04178903599524359,256,153,78,25
Stop staring at her curves!,1.5,0.040900358360998194,254,149,83,22
How nice that your father has been memorialized in the very spot where he died.,1.4982935153583619,0.0406319514251992,293,181,78,34
"I gotta admit, I'm strangely aroused.",1.4981273408239701,0.04290647582787288,267,166,69,32
Is that what I look like from behind?,1.4980237154150198,0.04139503248883458,253,150,80,23
I told you we're famous.,1.4960629921259843,0.03934828689480141,254,156,75,23
I see her everywhere I look.,1.4959677419354838,0.04080535724709368,248,155,69,24
Nobody knows why he was crossing the road.,1.4959349593495934,0.041837648510734224,246,156,62,28
I think she’s a little out of your league.,1.4959016393442623,0.044420891914994785,244,151,65,28
Isn't it nice they're putting pictures on these memorial highway signs now?,1.4959016393442623,0.045545688366614656,244,154,59,31
Maybe we should ask the chicken for advice?,1.4943820224719102,0.0429052467505204,267,167,68,32
Mom said it’s safe to cross here. I haven’t seen her since.,1.4939271255060729,0.044761250116611966,247,155,62,30
"See, I told you I was famous.",1.493877551020408,0.04313741616328072,245,149,71,25
"It's a sign, Carl.",1.493877551020408,0.04428549073119722,245,152,65,28
Why is there a picture of dad up there?,1.4938271604938271,0.04339531970635512,243,148,70,25
They never get my nose right,1.4926470588235294,0.04263433265957005,272,171,68,33
Photoshopped. No real snake has curves like that.,1.492537313432836,0.044701523567087426,268,174,56,38
"Told you I saw a ""snake crossing"" sign!",1.4921259842519685,0.045916342850141637,254,165,53,36
I don’t care why the chicken did it. We’re doing this for us.,1.4915966386554622,0.045247724196922044,238,149,61,28
It means we have the right-of-way.,1.4915966386554622,0.044854200741264984,238,148,63,27
"Yeah, I did some modeling back in the day",1.490566037735849,0.04798104172210372,212,133,54,25
This is our Adopt-a-Highway stretch.,1.4898785425101215,0.04512447562235099,247,157,59,31
